accuracy_NI_PROM,forest
0.8565388100271821,tree_18_6_14_1123_88
0.8601630927212323,tree_7_5_11_1675_91
0.8613711869525823,tree_23_4_8_1752_91
0.8643914225309575,tree_5_6_13_1427_86
0.864693446088795,tree_8_7_6_1478_89
0.8592570220477197,tree_10_5_17_1761_91
0.8568408335850196,tree_13_7_14_1062_87
0.8601630927212323,tree_15_4_11_1140_90
0.8604651162790697,tree_18_7_17_1160_87
0.8583509513742071,tree_21_5_10_1774_88
0.8595590456055572,tree_22_4_4_1144_91
0.8598610691633948,tree_28_6_15_1283_90
0.8619752340682574,tree_5_5_7_1545_88
0.8622772576260949,tree_22_7_4_1293_90
0.8628813047417698,tree_9_4_17_1070_87
0.855934762911507,tree_23_7_15_1695_88
0.8592570220477197,tree_20_6_9_1340_88
0.8607671398369072,tree_22_4_6_1390_90
0.865901540320145,tree_24_5_14_1322_87
0.8580489278163697,tree_29_5_14_1713_90
0.8607671398369072,tree_13_6_17_1596_91
0.8604651162790697,tree_21_5_12_1665_91
0.8595590456055572,tree_27_4_18_1792_90
0.8604651162790697,tree_27_4_14_1562_89
0.8634853518574449,tree_14_7_3_1245_88
0.8520084566596194,tree_18_6_14_1123_88
0.8604651162790697,tree_7_5_11_1675_91
0.8607671398369072,tree_23_4_8_1752_91
0.8652974932044699,tree_5_6_13_1427_86
0.86650558743582,tree_8_7_6_1478_89
0.8625792811839323,tree_10_5_17_1761_91
0.8574448807006947,tree_13_7_14_1062_87
0.8610691633947448,tree_15_4_11_1140_90
0.8649954696466324,tree_18_7_17_1160_87
0.8622772576260949,tree_21_5_10_1774_88
0.8622772576260949,tree_22_4_4_1144_91
0.8619752340682574,tree_28_6_15_1283_90
0.8607671398369072,tree_5_5_7_1545_88
0.8625792811839323,tree_22_7_4_1293_90
0.86771368166717,tree_9_4_17_1070_87
0.8565388100271821,tree_23_7_15_1695_88
0.8604651162790697,tree_20_6_9_1340_88
0.8649954696466324,tree_22_4_6_1390_90
0.86771368166717,tree_24_5_14_1322_87
0.8631833282996074,tree_29_5_14_1713_90
0.8622772576260949,tree_13_6_17_1596_91
0.8625792811839323,tree_21_5_12_1665_91
0.8622772576260949,tree_27_4_18_1792_90
0.8637873754152824,tree_27_4_14_1562_89
0.867109634551495,tree_14_7_3_1245_88
0.854122621564482,tree_18_6_14_1123_88
0.8589549984898822,tree_7_5_11_1675_91
0.8628813047417698,tree_23_4_8_1752_91
