,orf
YFR050C,30
YDR044W,26
YGL116W,25
YIL051C,25
YPL117C,24
YBR254C,23
YBR256C,23
YPR103W,23
YDR394W,23
YDL148C,22
YOR278W,22
YOR077W,22
YFL024C,22
YHR172W,21
YDR397C,21
YER146W,20
YLR060W,20
YPR190C,20
YGL201C,20
YMR240C,20
YPR169W,20
YPR161C,19
YKL059C,19
YPR082C,19
YIL144W,18
YOR370C,17
YDL097C,17
YPR178W,16
YNL038W,16
YNL240C,14
YGR158C,12
YML126C,11
YMR227C,11
YPR181C,11
YNL002C,10
YPL082C,9
YDR013W,5
YML125C,5
YDL087C,4
YIL115C,4
YNL251C,3
YLR298C,3
YNR016C,3
YGL018C,3
YML077W,3
YIL129C,2
YNL245C,2
YEL019C,2
YIL062C,2
YJR002W,2
YBR079C,2
YKL004W,2
YHR068W,2
YIR015W,1
YKL022C,1
YDL132W,1
YNL317W,1
YDR091C,1
YGL093W,1
YLR336C,1
YMR197C,1
YOL097C,1
YDR376W,1
YDL043C,1
YJR042W,1
YMR290C,1
YHR065C,1
YFR052W,1
YPR010C,1
YAL032C,1
YKL024C,1
YER023W,1
YGR218W,1
YDR301W,1
YML093W,1
YHR166C,1
YGL245W,1
